party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu,partynr,news,newspercent
ref,.29,.286,2014,8,1,41,49,.8367346938775511,144.68,-.2206896551724071,7.5,.4,2.4,2.2,.31,976.74,5,144.94,177.01,170.64,193.8,197.57,ref,2014m8,1,360,17,6125244618395
ref,.27,.286,2014,9,1,42,49,.8571428571428571,144.52,-.1105888858169806,7.5,.4,2.4,2.2,.29,976.74,5,144.21,177.41,171.63,195.1,198.99,ref,2014m9,1,384,18,7866927592955
ref,.27,.286,2014,10,1,43,49,.8775510204081632,144.43,-.0622751176307901,6.3,,3,2.7,.27,,,143.75,178.49,170.94,194,198,ref,2014m10,1,537,26,2720156555773
ref,.29,.286,2014,11,1,44,49,.8979591836734694,143.12,-.9070137783009074,6.3,,3,2.7,.27,,,143.1,177.16,171.62,193.81,196.24,ref,2014m11,1,1053,51,5166340508806
ref,.32,.29,2014,12,1,45,49,.9183673469387755,143.13,.0069871436556639,6.3,,3,2.7,.29,1039,,143.05,177.04,170.52,193.39,192.95,ref,2014m12,1,1172,57,3385518590998
ref,.22,.29,2015,1,0,46,49,.9387755102040817,142.55,,6.6,,1.8,,,1010,,143.31,182.39,174.86,192.85,193.43,ref,2015m1,1,,
kesk,.26,.261,2007,3,0,1,49,.0204081632653061,108.49,1.071362027203278,5.3,3.7,11.6,10.5,.29,659.67431,20.14447658196067,102.71,106.77,102.1,121.69,106.1,kesk,2007m3,2,,
kesk,.24,.261,2007,4,0,2,49,.0408163265306122,109.26,.7097428334408704,4.9,.2,9.199999999999999,9.4,.26,738.0849500000001,21.16607081873606,103.44,107.11,102.63,121.75,106.84,kesk,2007m4,2,,
kesk,.22,.261,2007,5,0,3,49,.0612244897959184,110.14,.8054182683507207,4.9,.2,9.199999999999999,9.4,.24,738.0849500000001,21.16607081873606,104,107.54,102.98,122.57,107.48,kesk,2007m5,2,,
kesk,.18,.261,2007,6,0,4,49,.0816326530612245,110.75,.5538405665516564,4.9,.2,9.199999999999999,9.4,.22,738.0849500000001,21.16607081873606,104.48,107.59,103.18,122.92,109.06,kesk,2007m6,2,,
kesk,.2,.261,2007,7,0,5,49,.1020408163265306,111.81,.9571106094808073,4.1,.6,6.9,6.8,.18,696.56091,20.18395595630243,104.94,108.28,104.13,128.49,109.97,kesk,2007m7,2,,
kesk,.24,.261,2007,8,0,6,49,.1224489795918367,112.19,.3398622663446815,4.1,.6,6.9,6.8,.2,696.56091,20.18395595630243,105.7,108.3,104.21,131.21,112.14,kesk,2007m8,2,,
kesk,.2,.261,2007,9,0,7,49,.1428571428571429,113.37,1.051787146804543,4.1,.6,6.9,6.8,.24,696.56091,20.18395595630243,105.45,108.97,105,131.69,112.97,kesk,2007m9,2,,
kesk,.22,.261,2007,10,0,8,49,.163265306122449,114.54,1.032019052659436,4.1,-.3,4.2,5.3,.2,784.17931,20.14986279311184,105.34,109.02,104.97,133.11,115.68,kesk,2007m10,2,,
kesk,.23,.261,2007,11,0,9,49,.1836734693877551,115.98,1.25720272393923,4.1,-.3,4.2,5.3,.22,784.17931,20.14986279311184,106.15,109.39,104.99,133.65,117.24,kesk,2007m11,2,,
kesk,.22,.261,2007,12,0,10,49,.2040816326530612,116.82,.7242628039316941,4.1,-.3,4.2,5.3,.23,784.17931,20.14986279311184,106.45,109.52,104.69,135.39,117.89,kesk,2007m12,2,,
kesk,.23,.261,2008,1,0,11,49,.2244897959183674,119.26,2.088683444615654,4.1,-3.2,-2.8,-4.7,.22,788.47162,19.52437862859931,107.18,114.4,105.02,140.44,120.6,kesk,2008m1,2,,
kesk,.25,.261,2008,2,0,12,49,.2448979591836735,119.7,.3689418078148634,4.1,-3.2,-2.8,-4.7,.23,788.47162,19.52437862859931,107.34,115.26,105.25,140.72,121.46,kesk,2008m2,2,,
kesk,.27,.261,2008,3,0,13,49,.2653061224489796,120.68,.8187134502924067,4.1,-3.2,-2.8,-4.7,.25,788.47162,19.52437862859931,108.49,115.37,106.77,140.64,121.69,kesk,2008m3,2,,
kesk,.22,.261,2008,4,0,14,49,.2857142857142857,121.91,1.019224395094454,4,1.3,-1.7,-2.1,.27,850.40456,15.2177076635962,109.26,116.39,107.11,143.95,121.75,kesk,2008m4,2,,
kesk,.26,.261,2008,5,0,15,49,.3061224489795918,122.65,.6070051677467063,4,1.3,-1.7,-2.1,.22,850.40456,15.2177076635962,110.14,116.43,107.54,144.42,122.57,kesk,2008m5,2,,
kesk,.29,.261,2008,6,0,16,49,.3265306122448979,123.45,.6522625356706158,4,1.3,-1.7,-2.1,.26,850.40456,15.2177076635962,110.75,116.86,107.59,145.48,122.92,kesk,2008m6,2,,
kesk,.24,.261,2008,7,0,17,49,.3469387755102041,124.34,.7209396516808511,6.2,-1.1,-3.3,-2.6,.29,799.65296,14.80014863308938,111.81,122.7,108.28,147.62,128.49,kesk,2008m7,2,,
kesk,.26,.261,2008,8,0,18,49,.3673469387755102,124.66,.2573588547530932,6.2,-1.1,-3.3,-2.6,.24,799.65296,14.80014863308938,112.19,129.01,108.3,148.12,131.21,kesk,2008m8,2,,
kesk,.26,.261,2008,9,0,19,49,.3877551020408163,125.62,.7700946574683059,6.2,-1.1,-3.3,-2.6,.26,799.65296,14.80014863308938,113.37,138,108.97,148.21,131.69,kesk,2008m9,2,,
kesk,.32,.261,2008,10,0,20,49,.4081632653061225,126.08,.3661837287056073,7.4,-10.8,-13.5,-11.7,.26,838.30225,6.901857688645208,114.54,137.6,109.02,157.99,133.11,kesk,2008m10,2,,
kesk,.27,.261,2008,11,0,21,49,.4285714285714286,125.81,-.2141497461928879,7.4,-10.8,-13.5,-11.7,.32,838.30225,6.901857688645208,115.98,138.81,109.39,160.22,133.65,kesk,2008m11,2,,
kesk,.35,.261,2008,12,0,22,49,.4489795918367347,125.61,-.1589698752086406,7.4,-10.8,-13.5,-11.7,.27,838.30225,6.901857688645208,116.82,138.53,109.52,159.94,135.39,kesk,2008m12,2,,
kesk,.28,.261,2009,1,0,23,49,.4693877551020408,124.85,-.6050473688400615,11.2,-3.7,-13.9,-12.4,.35,776.34886,-1.5,119.26,138.78,114.4,160.45,140.44,kesk,2009m1,2,,
kesk,.3,.261,2009,2,0,24,49,.4897959183673469,124.33,-.4164997997597055,11.2,-3.7,-13.9,-12.4,.28,776.34886,-1.5,119.7,138.77,115.26,156.42,140.72,kesk,2009m2,2,,
kesk,.31,.261,2009,3,0,25,49,.5102040816326531,123.75,-.4665004423711139,11.2,-3.7,-13.9,-12.4,.3,776.34886,-1.5,120.68,138.29,115.37,151.96,140.64,kesk,2009m3,2,,
