party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu
ref,.3,.286,2012,1,1,10,49,.2040816326530612,136.01,.5544876534082448,11.3,1.1,5.6,5.8,.33,846.76,6.9,129.91,154.89,148.56,175.18,157.85,ref,2012m1
ref,.28,.286,2012,2,1,11,49,.2244897959183673,136.58,.4190868318506062,11.3,1.1,5.6,5.8,.3,846.76,6.9,130.78,158.3,148.97,175.25,158.1,ref,2012m2
ref,.29,.286,2012,3,1,12,49,.2448979591836735,137.99,1.032361985649445,11.3,1.1,5.6,5.8,.28,846.76,6.9,131.84,162.97,152.69,176.1,158.29,ref,2012m3
ref,.27,.286,2012,4,1,13,49,.2653061224489796,138.6,.4420610189144014,10.1,1.4,5.3,5.2,.29,899.85,5,132.9,163.58,153.62,176.68,159.27,ref,2012m4
ref,.3,.286,2012,5,1,14,49,.2857142857142857,138.89,.2092352092352172,10.1,1.4,5.3,5.2,.27,899.85,5,133.42,164.3,154.65,177.48,160.65,ref,2012m5
ref,.31,.286,2012,6,1,15,49,.3061224489795918,139.09,.1439988480092182,10.1,1.4,5.3,5.2,.3,899.85,5,133.22,162.38,154.17,177.41,162.55,ref,2012m6
ref,.34,.286,2012,7,1,16,49,.3265306122448979,139.51,.3019627579265034,9.5,1,4.3,4,.31,855.27,5.7,133.96,163.46,156.54,179.82,163.7,ref,2012m7
ref,.39,.286,2012,8,1,17,49,.3469387755102041,139.96,.3225575227582311,9.5,1,4.3,4,.34,855.27,5.7,134.33,161.85,155.05,182.44,168.27,ref,2012m8
ref,.33,.286,2012,9,1,18,49,.3673469387755102,140.56,.4286939125464357,9.5,1,4.3,4,.39,855.27,5.7,135.08,163.86,155.84,183.37,169.61,ref,2012m9
ref,.32,.286,2012,10,1,19,49,.3877551020408163,140.67,.078258394991451,9.1,-.1,3.5,3.8,.33,916.35,5.9,134.97,163.6,155.53,183.16,171.38,ref,2012m10
ref,.26,.286,2012,11,1,20,49,.4081632653061225,140.22,-.3198976327575025,9.1,-.1,3.5,3.8,.32,916.35,5.9,135.07,163.6,155.82,182.72,171.3,ref,2012m11
ref,.22,.286,2012,12,1,21,49,.4285714285714285,140.18,-.028526601055475,9.1,-.1,3.5,3.8,.26,916.35,5.9,135.26,162.21,153.58,183.06,171.29,ref,2012m12
ref,.2,.286,2013,1,1,22,49,.4489795918367347,141.09,.649165358824348,10,1.2,3.6,3.9,.22,900.39,6.3,136.01,166.16,154.89,192.48,175.18,ref,2013m1
ref,.23,.286,2013,2,1,23,49,.4693877551020408,142.03,.6662414061946293,10,1.2,3.6,3.9,.2,900.39,6.3,136.58,167.32,158.3,193.67,175.25,ref,2013m2
ref,.25,.286,2013,3,1,24,49,.4897959183673469,143.22,.8378511582060071,10,1.2,3.6,3.9,.23,900.39,6.3,137.99,171.28,162.97,194.44,176.1,ref,2013m3
ref,.25,.286,2013,4,1,25,49,.5102040816326531,143.35,.0907694456081458,8,-1.1,1,.8,.25,976.04,8.5,138.6,171.76,163.58,194.04,176.68,ref,2013m4
ref,.24,.286,2013,5,1,26,49,.5306122448979592,143.92,.3976281827694521,8,-1.1,1,.8,.25,976.04,8.5,138.89,172,164.3,192.81,177.48,ref,2013m5
ref,.24,.286,2013,6,1,27,49,.5510204081632653,144.73,.5628126737076116,8,-1.1,1,.8,.24,976.04,8.5,139.09,169.98,162.38,198.84,177.41,ref,2013m6
ref,.24,.286,2013,7,1,28,49,.5714285714285714,145.02,.2003731085469695,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.51,171.68,163.46,195.23,179.82,ref,2013m7
ref,.2,.286,2013,8,1,29,49,.5918367346938775,144.94,-.0551648048545132,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.96,170.64,161.85,197.57,182.44,ref,2013m8
ref,.21,.286,2013,9,1,30,49,.6122448979591837,144.21,-.50365668552503,7.8,.5,.5,.3,.2,930.26,8.800000000000001,140.56,171.63,163.86,198.99,183.37,ref,2013m9
ref,.22,.286,2013,10,1,31,49,.6326530612244898,143.75,-.3189792663476965,8.699999999999999,.9,1.5,1.7,.21,986.29,7.6,140.67,170.94,163.6,198,183.16,ref,2013m10
ref,.18,.286,2013,11,1,32,49,.6530612244897959,143.1,-.452173913043481,8.699999999999999,.9,1.5,1.7,.22,986.29,7.6,140.22,171.62,163.6,196.24,182.72,ref,2013m11
ref,.19,.286,2013,12,1,33,49,.673469387755102,143.05,-.0349406009783308,8.699999999999999,.9,1.5,1.7,.18,986.29,7.6,140.18,170.52,162.21,192.95,183.06,ref,2013m12
ref,.24,.286,2014,1,1,34,49,.6938775510204082,143.31,.1817546312478129,8.5,.1,.5,.3,.19,966.2,7.3,141.09,174.86,166.16,193.43,192.48,ref,2014m1
ref,.21,.286,2014,2,1,35,49,.7142857142857143,143.64,.2302700439606298,8.5,.1,.5,.3,.24,966.2,7.3,142.03,177.41,167.32,191.73,193.67,ref,2014m2
ref,.24,.286,2014,3,1,36,49,.7346938775510204,144.23,.4107490949596126,8.5,.1,.5,.3,.21,966.2,7.3,143.22,178.07,171.28,191.31,194.44,ref,2014m3
ref,.25,.286,2014,4,1,37,49,.7551020408163265,144.5,.1872009984053307,7,.9,2.3,2,.24,1022.66,4.8,143.35,179.31,171.76,190.5,194.04,ref,2014m4
ref,.29,.286,2014,5,1,38,49,.7755102040816326,144.83,.2283737024221466,7,.9,2.3,2,.25,1022.66,4.8,143.92,179.19,172,191.42,192.81,ref,2014m5
ref,.31,.286,2014,6,1,39,49,.7959183673469388,145.25,.289995166747218,7,.9,2.3,2,.29,1022.66,4.8,144.73,178.07,169.98,192.26,198.84,ref,2014m6
ref,.31,.286,2014,7,1,40,49,.8163265306122449,145,-.1721170395869223,7.5,.4,2.4,2.2,.31,976.74,5,145.02,177.46,171.68,194.47,195.23,ref,2014m7
ref,.29,.286,2014,8,1,41,49,.8367346938775511,144.68,-.2206896551724071,7.5,.4,2.4,2.2,.31,976.74,5,144.94,177.01,170.64,193.8,197.57,ref,2014m8
ref,.27,.286,2014,9,1,42,49,.8571428571428571,144.52,-.1105888858169806,7.5,.4,2.4,2.2,.29,976.74,5,144.21,177.41,171.63,195.1,198.99,ref,2014m9
ref,.27,.286,2014,10,1,43,49,.8775510204081632,144.43,-.0622751176307901,6.3,,3,2.7,.27,,,143.75,178.49,170.94,194,198,ref,2014m10
ref,.29,.286,2014,11,1,44,49,.8979591836734694,143.12,-.9070137783009073,6.3,,3,2.7,.27,,,143.1,177.16,171.62,193.81,196.24,ref,2014m11
kesk,.26,.261,2007,3,0,1,49,.0204081632653061,108.49,1.071362027203278,5.3,3.7,11.6,10.5,.29,659.67431,20.14447658196067,102.71,106.77,102.1,121.69,106.1,kesk,2007m3
kesk,.24,.261,2007,4,0,2,49,.0408163265306122,109.26,.7097428334408704,4.9,.2,9.199999999999999,9.4,.26,738.08495,21.16607081873606,103.44,107.11,102.63,121.75,106.84,kesk,2007m4
kesk,.22,.261,2007,5,0,3,49,.0612244897959184,110.14,.8054182683507207,4.9,.2,9.199999999999999,9.4,.24,738.08495,21.16607081873606,104,107.54,102.98,122.57,107.48,kesk,2007m5
kesk,.18,.261,2007,6,0,4,49,.0816326530612245,110.75,.5538405665516564,4.9,.2,9.199999999999999,9.4,.22,738.08495,21.16607081873606,104.48,107.59,103.18,122.92,109.06,kesk,2007m6
kesk,.2,.261,2007,7,0,5,49,.1020408163265306,111.81,.9571106094808073,4.1,.6,6.9,6.8,.18,696.56091,20.18395595630243,104.94,108.28,104.13,128.49,109.97,kesk,2007m7
kesk,.24,.261,2007,8,0,6,49,.1224489795918367,112.19,.3398622663446815,4.1,.6,6.9,6.8,.2,696.56091,20.18395595630243,105.7,108.3,104.21,131.21,112.14,kesk,2007m8
kesk,.2,.261,2007,9,0,7,49,.1428571428571428,113.37,1.051787146804543,4.1,.6,6.9,6.8,.24,696.56091,20.18395595630243,105.45,108.97,105,131.69,112.97,kesk,2007m9
kesk,.22,.261,2007,10,0,8,49,.163265306122449,114.54,1.032019052659436,4.1,-.3,4.2,5.3,.2,784.17931,20.14986279311184,105.34,109.02,104.97,133.11,115.68,kesk,2007m10
kesk,.23,.261,2007,11,0,9,49,.1836734693877551,115.98,1.25720272393923,4.1,-.3,4.2,5.3,.22,784.17931,20.14986279311184,106.15,109.39,104.99,133.65,117.24,kesk,2007m11
kesk,.22,.261,2007,12,0,10,49,.2040816326530612,116.82,.7242628039316941,4.1,-.3,4.2,5.3,.23,784.17931,20.14986279311184,106.45,109.52,104.69,135.39,117.89,kesk,2007m12
kesk,.23,.261,2008,1,0,11,49,.2244897959183673,119.26,2.088683444615654,4.1,-3.2,-2.8,-4.7,.22,788.47162,19.52437862859931,107.18,114.4,105.02,140.44,120.6,kesk,2008m1
kesk,.25,.261,2008,2,0,12,49,.2448979591836735,119.7,.3689418078148634,4.1,-3.2,-2.8,-4.7,.23,788.47162,19.52437862859931,107.34,115.26,105.25,140.72,121.46,kesk,2008m2
kesk,.27,.261,2008,3,0,13,49,.2653061224489796,120.68,.8187134502924067,4.1,-3.2,-2.8,-4.7,.25,788.47162,19.52437862859931,108.49,115.37,106.77,140.64,121.69,kesk,2008m3
kesk,.22,.261,2008,4,0,14,49,.2857142857142857,121.91,1.019224395094454,4,1.3,-1.7,-2.1,.27,850.4045599999999,15.2177076635962,109.26,116.39,107.11,143.95,121.75,kesk,2008m4
kesk,.26,.261,2008,5,0,15,49,.3061224489795918,122.65,.6070051677467063,4,1.3,-1.7,-2.1,.22,850.4045599999999,15.2177076635962,110.14,116.43,107.54,144.42,122.57,kesk,2008m5
kesk,.29,.261,2008,6,0,16,49,.3265306122448979,123.45,.6522625356706158,4,1.3,-1.7,-2.1,.26,850.4045599999999,15.2177076635962,110.75,116.86,107.59,145.48,122.92,kesk,2008m6
kesk,.24,.261,2008,7,0,17,49,.3469387755102041,124.34,.7209396516808511,6.2,-1.1,-3.3,-2.6,.29,799.65296,14.80014863308938,111.81,122.7,108.28,147.62,128.49,kesk,2008m7
kesk,.26,.261,2008,8,0,18,49,.3673469387755102,124.66,.2573588547530932,6.2,-1.1,-3.3,-2.6,.24,799.65296,14.80014863308938,112.19,129.01,108.3,148.12,131.21,kesk,2008m8
kesk,.26,.261,2008,9,0,19,49,.3877551020408163,125.62,.7700946574683059,6.2,-1.1,-3.3,-2.6,.26,799.65296,14.80014863308938,113.37,138,108.97,148.21,131.69,kesk,2008m9
kesk,.32,.261,2008,10,0,20,49,.4081632653061225,126.08,.3661837287056073,7.4,-10.8,-13.5,-11.7,.26,838.30225,6.901857688645208,114.54,137.6,109.02,157.99,133.11,kesk,2008m10
kesk,.27,.261,2008,11,0,21,49,.4285714285714285,125.81,-.2141497461928878,7.4,-10.8,-13.5,-11.7,.32,838.30225,6.901857688645208,115.98,138.81,109.39,160.22,133.65,kesk,2008m11
kesk,.35,.261,2008,12,0,22,49,.4489795918367347,125.61,-.1589698752086406,7.4,-10.8,-13.5,-11.7,.27,838.30225,6.901857688645208,116.82,138.53,109.52,159.94,135.39,kesk,2008m12
kesk,.28,.261,2009,1,0,23,49,.4693877551020408,124.85,-.6050473688400615,11.2,-3.7,-13.9,-12.4,.35,776.3488599999999,-1.5,119.26,138.78,114.4,160.45,140.44,kesk,2009m1
kesk,.3,.261,2009,2,0,24,49,.4897959183673469,124.33,-.4164997997597055,11.2,-3.7,-13.9,-12.4,.28,776.3488599999999,-1.5,119.7,138.77,115.26,156.42,140.72,kesk,2009m2
kesk,.31,.261,2009,3,0,25,49,.5102040816326531,123.75,-.4665004423711139,11.2,-3.7,-13.9,-12.4,.3,776.3488599999999,-1.5,120.68,138.29,115.37,151.96,140.64,kesk,2009m3
kesk,.33,.261,2009,4,0,26,49,.5306122448979592,123.01,-.5979797979798036,13.2,-3,-17.5,-17.2,.31,812.73184,-4.4,121.91,138.31,116.39,148.29,143.95,kesk,2009m4
kesk,.3,.261,2009,5,0,27,49,.5510204081632653,123.05,.0325176814893098,13.2,-3,-17.5,-17.2,.33,812.73184,-4.4,122.65,137.98,116.43,146.33,144.42,kesk,2009m5
kesk,.33,.261,2009,6,0,28,49,.5714285714285714,122.81,-.1950426655830881,13.2,-3,-17.5,-17.2,.3,812.73184,-4.4,123.45,136.58,116.86,146.23,145.48,kesk,2009m6
kesk,.31,.261,2009,7,0,29,49,.5918367346938775,123.85,.8468365768259787,14.4,-2.2,-18.4,-19.3,.33,752.22668,-5.9,124.34,138.55,122.7,149.19,147.62,kesk,2009m7
kesk,.29,.261,2009,8,0,30,49,.6122448979591837,123.74,-.088817117480815,14.4,-2.2,-18.4,-19.3,.31,752.22668,-5.9,124.66,137.89,129.01,149.15,148.12,kesk,2009m8
kesk,.34,.261,2009,9,0,31,49,.6326530612244898,123.52,-.1777921448197759,14.4,-2.2,-18.4,-19.3,.29,752.22668,-5.9,125.62,137.13,138,149.75,148.21,kesk,2009m9
