year	month	day	symbol	nav
2004	2	7	SPK00	0.66979
2004	2	8	SPK00	0.66979
2004	2	9	SPK00	0.67107
2004	2	10	SPK00	0.67107
2004	2	11	SPK00	0.67043
2004	2	12	SPK00	0.67171
2004	2	13	SPK00	0.67171
2004	2	14	SPK00	0.67171
2004	2	15	SPK00	0.67171
2004	2	16	SPK00	0.67171
2004	2	17	SPK00	0.67171
2004	2	18	SPK00	0.67235
2004	2	19	SPK00	0.67171
2004	2	20	SPK00	0.67171
2004	2	21	SPK00	0.67171
2004	2	22	SPK00	0.67171
2004	2	23	SPK00	0.67171
2004	2	24	SPK00	0.67171
2004	2	25	SPK00	0.67235
2004	2	26	SPK00	0.67235
2004	2	27	SPK00	0.67299
2004	2	28	SPK00	0.67235
2004	2	29	SPK00	0.67235
2004	3	1	SPK00	0.67299
2004	3	2	SPK00	0.67299
2004	3	3	SPK00	0.67235
2004	3	4	SPK00	0.67171
2004	3	5	SPK00	0.67427
2004	3	6	SPK00	0.67171
2004	3	7	SPK00	0.67171
2004	3	8	SPK00	0.67491
2004	3	9	SPK00	0.67491
2004	3	10	SPK00	0.67491
2004	3	11	SPK00	0.67555
2004	3	12	SPK00	0.67555
2004	3	13	SPK00	0.67555
2004	3	14	SPK00	0.67555
2004	3	15	SPK00	0.67555
2004	3	16	SPK00	0.67555
2004	3	17	SPK00	0.67619
2004	3	18	SPK00	0.67619
2004	3	19	SPK00	0.67619
2004	3	20	SPK00	0.67619
2004	3	21	SPK00	0.67619
2004	3	22	SPK00	0.67682
2004	3	23	SPK00	0.67619
2004	3	24	SPK00	0.67619
2004	3	25	SPK00	0.67682
2004	3	26	SPK00	0.67682
2004	3	27	SPK00	0.67682
2004	3	28	SPK00	0.67682
2004	3	29	SPK00	0.67555
2004	3	30	SPK00	0.67619
2004	3	31	SPK00	0.67555
2004	4	1	SPK00	0.67555
2004	4	2	SPK00	0.67427
2004	4	3	SPK00	0.67555
2004	4	4	SPK00	0.67555
2004	4	5	SPK00	0.67427
2004	4	6	SPK00	0.67427
2004	4	7	SPK00	0.67491
2004	4	8	SPK00	0.67491
2004	4	9	SPK00	0.67491
2004	4	10	SPK00	0.67491
2004	4	11	SPK00	0.67491
2004	4	12	SPK00	0.67491
2004	4	13	SPK00	0.67427
2004	4	14	SPK00	0.67363
2004	4	15	SPK00	0.67363
2004	4	16	SPK00	0.67427
2004	4	17	SPK00	0.67363
2004	4	18	SPK00	0.67363
2004	4	19	SPK00	0.67427
2004	4	20	SPK00	0.67363
2004	4	21	SPK00	0.67363
2004	4	22	SPK00	0.67427
2004	4	23	SPK00	0.67427
2004	4	24	SPK00	0.67427
2004	4	25	SPK00	0.67427
2004	4	26	SPK00	0.67363
2004	4	27	SPK00	0.67363
2004	4	28	SPK00	0.67363
2004	4	29	SPK00	0.67363
2004	4	30	SPK00	0.67363
2004	5	1	SPK00	0.67363
2004	5	2	SPK00	0.67363
2004	5	3	SPK00	0.67427
2004	5	4	SPK00	0.67427
2004	5	5	SPK00	0.67427
2004	5	6	SPK00	0.67363
2004	5	7	SPK00	0.67235
2004	5	8	SPK00	0.67363
2004	5	9	SPK00	0.67363
2004	5	10	SPK00	0.67235
2004	5	11	SPK00	0.67235
2004	5	12	SPK00	0.67235
2004	5	13	SPK00	0.67171
2004	5	14	SPK00	0.67235
2004	5	15	SPK00	0.67171
2004	5	16	SPK00	0.67171
2004	5	17	SPK00	0.67299
2004	5	18	SPK00	0.67299
2004	5	19	SPK00	0.67235
2004	5	20	SPK00	0.67235
2004	5	21	SPK00	0.67299
2004	5	22	SPK00	0.67235
2004	5	23	SPK00	0.67235
2004	5	24	SPK00	0.67235
2004	5	25	SPK00	0.67299
2004	5	26	SPK00	0.67299
2004	5	27	SPK00	0.67363
2004	5	28	SPK00	0.67299
