day	month	year	symbol	nav
06	10	2012	SPK00	0.86814
07	10	2012	SPK00	0.86814
08	10	2012	SPK00	0.86825
09	10	2012	SPK00	0.86913
10	10	2012	SPK00	0.86938
11	10	2012	SPK00	0.86948
12	10	2012	SPK00	0.87013
13	10	2012	SPK00	0.86948
14	10	2012	SPK00	0.86948
15	10	2012	SPK00	0.87034
16	10	2012	SPK00	0.86951
17	10	2012	SPK00	0.86933
18	10	2012	SPK00	0.86989
19	10	2012	SPK00	0.87076
20	10	2012	SPK00	0.86989
21	10	2012	SPK00	0.86989
22	10	2012	SPK00	0.87028
23	10	2012	SPK00	0.87098
24	10	2012	SPK00	0.87073
25	10	2012	SPK00	0.87089
26	10	2012	SPK00	0.87186
27	10	2012	SPK00	0.87089
28	10	2012	SPK00	0.87089
29	10	2012	SPK00	0.87262
30	10	2012	SPK00	0.86994
31	10	2012	SPK00	0.87241
01	11	2012	SPK00	0.87282
02	11	2012	SPK00	0.87474
03	11	2012	SPK00	0.87282
04	11	2012	SPK00	0.87282
05	11	2012	SPK00	0.8758
06	11	2012	SPK00	0.87574
07	11	2012	SPK00	0.87709
08	11	2012	SPK00	0.87711
09	11	2012	SPK00	0.87789
10	11	2012	SPK00	0.87711
11	11	2012	SPK00	0.87711
12	11	2012	SPK00	0.87782
13	11	2012	SPK00	0.87787
14	11	2012	SPK00	0.87748
15	11	2012	SPK00	0.87718
16	11	2012	SPK00	0.87781
17	11	2012	SPK00	0.87718
18	11	2012	SPK00	0.87718
19	11	2012	SPK00	0.87729
20	11	2012	SPK00	0.87684
21	11	2012	SPK00	0.87618
22	11	2012	SPK00	0.87578
23	11	2012	SPK00	0.87533
24	11	2012	SPK00	0.87578
25	11	2012	SPK00	0.87578
26	11	2012	SPK00	0.87553
27	11	2012	SPK00	0.87626
28	11	2012	SPK00	0.87708
29	11	2012	SPK00	0.87647
30	11	2012	SPK00	0.87666
01	12	2012	SPK00	0.87647
02	12	2012	SPK00	0.87647
03	12	2012	SPK00	0.87575
04	12	2012	SPK00	0.87611
05	12	2012	SPK00	0.8771
06	12	2012	SPK00	0.87871
07	12	2012	SPK00	0.87967
08	12	2012	SPK00	0.87871
09	12	2012	SPK00	0.87871
10	12	2012	SPK00	0.87989
11	12	2012	SPK00	0.87914
12	12	2012	SPK00	0.87872
13	12	2012	SPK00	0.87855
14	12	2012	SPK00	0.8779
15	12	2012	SPK00	0.87855
16	12	2012	SPK00	0.87855
17	12	2012	SPK00	0.87791
18	12	2012	SPK00	0.87702
19	12	2012	SPK00	0.8764
20	12	2012	SPK00	0.87684
21	12	2012	SPK00	0.87762
22	12	2012	SPK00	0.87684
23	12	2012	SPK00	0.87684
24	12	2012	SPK00	0.87684
25	12	2012	SPK00	0.87684
26	12	2012	SPK00	0.87684
27	12	2012	SPK00	0.87722
28	12	2012	SPK00	0.87895
29	12	2012	SPK00	0.87722
30	12	2012	SPK00	0.87722
31	12	2012	SPK00	0.87882
01	1	2013	SPK00	0.87895
02	1	2013	SPK00	0.87842
03	1	2013	SPK00	0.87933
04	1	2013	SPK00	0.879
05	1	2013	SPK00	0.87933
06	1	2013	SPK00	0.87933
07	1	2013	SPK00	0.87928
08	1	2013	SPK00	0.87938
09	1	2013	SPK00	0.8803
